sigmax_win,0.2164982414636338
sigmad_win,1.9216443617999865
rho_win,0.09505741864455082
a_win,"[ 3.10209669e-02  6.87346997e-02  8.25259211e-06  9.75266899e-02
 -8.47944452e-02 -3.10844328e-02 -1.18248446e-01 -7.03020556e-02
 -1.02466299e-01]"
c_win,"[ 0.78447205  1.56560457  0.08134846  0.66859912  0.70001622  0.60158381
 -0.18773236 -0.81502351 -0.06325349]"
sigmax_loss,0.16709032806688176
sigmad_loss,1.824389319140605
rho_loss,0.07814907355133104
a_loss,"[ 0.07333597 -0.04891338 -0.05011149 -0.01568684 -0.01340621 -0.03385264
  0.06772453 -0.06253942  0.10969794]"
c_loss,"[ 3.30952337  4.31683939  3.56842646  3.97717194  4.99910464  2.64788708
  2.61272487  1.08013247 -0.27745996]"
c_joint,"[ 1.33401318  2.59539194  2.34480616  1.56508629  1.20774598  1.13728082
 -0.07868768 -0.1487916  -0.59089013]"
sigmad_joint,1.352339862613984
